ID,Initial_scar_area,Final_scar_area
1,36.911,3.536
2,71.65,0
3,38.288,25.5995
4,46.214,12.198
5,82.753,5.669
6,46.203,28.575
7,69.337,42.549
8,68.593,3.005
9,47.27,16.144
10,40.377,8.961
21,34.688,34.534
22,47.905,0
23,45.226,23.658
24,52.068,44.516
25,70.475,25.258
26,66.869,63.3605
27,39.419,66.219
28,41.189,39.5025
29,52.934,30.3755
30,41.69,29.337
41,41.605,22.289
42,51.267,10.959
43,42.261,11.69
44,60.366,11.4845
45,58.332,8.3455
46,38.027,21.267
47,35.595,14.259
48,37.462,13.997
49,42.232,7.9485
50,45.251,4.406
61,46.861,10.855
62,52.879,0
63,40.548,19.4775
64,41.735,12.336
65,56.729,0
66,36.258,9.351
67,42.563,0
68,36.749,0
69,56.623,37.247
70,31.473,2.284
72,48.668,0
81,31.898,0
82,44.315,7.061
83,49.94,5.851
84,43.681,17.115
85,47.88,0
86,36.358,19.334
87,50.269,7.674
88,28.58,7.171
89,57.275,6.201
90,55.958,27.942
101,17.064,24.2165
102,43.306,11.9865
103,28.535,12.1885
104,63.337,10.9405
105,47.029,1.385
106,44.222,3.927
107,57.454,0
108,54.554,0
109,35.253,0
110,44.665,0
