ID,Initial_nubbin_height
1,3.6
2,3.3
3,2.4
4,2.0
5,3.1
6,3.8
7,2.7
8,2.0
9,3.5
10,2.3
11,2.6
12,3.3
13,1.9
14,2.9
15,2.5
16,1.9
17,2.7
18,2.4
19,2.5
20,2.5
21,2.7
22,2.4
23,2.5
24,2.4
25,3.2
26,3.4
27,3.2
28,2.7
29,3.1
30,1.8
31,2.2
32,3.7
33,2.7
34,2.0
35,4.0
36,2.3
37,2.6
38,3.1
39,2.0
40,2.7
41,2.5
42,2.5
43,3.5
44,3.5
45,2.3
46,2.9
47,2.4
48,3.5
49,2.0
50,2.5
51,2.0
52,3.9
53,2.6
54,3.0
55,2.2
56,2.3
57,3.3
58,3.4
59,2.8
60,2.5
61,2.6
62,4.1
63,1.8
64,2.7
65,2.6
66,3.4
67,2.9
68,3.2
69,2.9
70,1.9
71,2.0
72,3.9
73,2.0
74,1.9
75,1.8
76,2.4
77,1.9
78,3.5
79,2.4
80,3.0
81,2.7
82,2.9
83,2.6
84,2.6
85,2.2
86,2.3
87,2.5
88,3.8
89,2.7
90,2.5
91,1.7
92,3.5
93,2.3
94,1.7
95,3.8
96,2.0
97,2.7
98,3.4
99,2.3
100,3.6
101,2.9
102,2.9
103,2.8
104,3.2
105,1.9
106,2.0
107,2.4
108,2.0
109,2.6
110,2.7
111,2.9
112,3.8
113,3.8
114,3.5
115,1.6
116,2.3
117,2.9
118,2.6
119,2.4
120,2.6
