ID,Replicate,No.Zoox
8,1,3
8,2,3
8,3,11
8,4,10
8,5,11
8,6,9
8,7,7
8,8,8
8,9,5
8,10,9
21,1,11
21,2,9
21,3,6
21,4,4
21,5,7
21,6,1
21,7,4
21,8,9
21,9,4
21,10,4
30,1,9
30,2,19
30,3,9
30,4,9
30,5,8
30,6,6
30,7,8
30,8,7
30,9,7
30,10,5
35,1,2
35,2,8
35,3,3
35,4,5
35,5,4
35,6,5
35,7,5
35,8,5
35,9,5
35,10,6
115,1,15
115,2,14
115,3,12
115,4,14
113,1,19
113,2,7
113,3,14
113,4,16
106,1,15
106,2,9
106,3,11
106,4,20
110,1,23
110,2,32
110,3,21
110,4,17
111,1,7
111,2,25
111,3,8
111,4,11
92,1,25
92,2,36
92,3,17
92,4,24
118,1,14
118,2,12
118,3,18
118,4,17
102,1,16
102,2,16
102,3,21
102,4,15
104,1,11
104,2,19
104,3,13
104,4,12
107,1,16
107,2,16
107,3,11
107,4,25
94,1,8
94,2,5
94,3,20
94,4,22
117,1,10
117,2,13
117,3,13
117,4,20
103,1,10
103,2,12
103,3,9
103,4,8
101,1,10
101,2,11
101,3,18
101,4,14
120,1,15
120,2,13
120,3,14
120,4,13
100,1,14
100,2,8
100,3,13
100,4,17
109,1,14
109,2,20
109,3,3
109,4,14
108,1,14
108,2,10
108,3,13
108,4,15
87,1,14
87,2,9
87,3,12
87,4,15
85,1,13
85,2,11
85,3,16
85,4,10
77,1,9
77,2,6
77,3,7
77,4,3
74,1,6
74,2,7
74,3,5
74,4,8
84,1,9
84,2,21
84,3,20
84,4,17
86,1,13
86,2,5
86,3,13
86,4,13
116,1,14
116,2,10
116,3,21
116,4,12
90,1,7
90,2,3
90,3,8
90,4,5
96,1,5
96,2,11
96,3,20
96,4,13
105,1,6
105,2,5
105,3,12
105,4,8
97,1,18
97,2,18
97,3,18
97,4,18
67,1,26
67,2,27
67,3,27
67,4,20
64,1,13
64,2,17
64,3,12
64,4,15
89,1,5
89,2,13
89,3,7
89,4,6
91,1,5
91,2,7
91,3,3
91,4,2
83,1,15
83,2,8
83,3,5
83,4,7
98,1,19
98,2,16
98,3,14
98,4,18
78,1,13
78,2,11
78,3,22
78,4,13
75,1,15
75,2,12
75,3,15
75,4,6
71,1,8
71,2,6
71,3,5
71,4,10
82,1,0
82,2,1
82,3,7
82,4,6
63,1,11
63,2,15
63,3,8
63,4,10
61,1,15
61,2,8
61,3,7
61,4,16
93,1,20
93,2,29
93,3,17
93,4,19
68,1,4
68,2,6
68,3,3
68,4,6
65,1,30
65,2,30
65,3,30
65,4,15
88,1,17
88,2,11
88,3,25
88,4,9
49,1,5
49,2,4
49,3,6
49,4,6
53,1,10
53,2,9
53,3,7
53,4,15
38,1,5
38,2,10
38,3,12
38,4,9
45,1,4
45,2,9
45,3,8
45,4,4
19,1,3
19,2,5
19,3,2
19,4,0
37,1,20
37,2,7
37,3,11
37,4,16
36,1,10
36,2,6
36,3,15
36,4,17
41,1,9
41,2,12
41,3,9
41,4,7
54,1,24
54,2,20
54,3,17
54,4,17
52,1,10
52,2,7
52,3,25
52,4,12
47,1,6
47,2,4
47,3,6
47,4,5
39,1,10
39,2,3
39,3,6
39,4,4
55,1,13
55,2,4
55,3,9
55,4,12
16,1,5
16,2,7
16,3,6
16,4,9
28,1,18
28,2,25
28,3,22
28,4,16
31,1,8
31,2,13
31,3,12
31,4,13
42,1,6
42,2,11
42,3,5
42,4,7
20,1,10
20,2,12
20,3,14
20,4,11
44,1,7
44,2,3
44,3,9
44,4,5
29,1,10
29,2,9
29,3,11
29,4,5
24,1,13
24,2,10
24,3,9
24,4,15
18,1,5
18,2,7
18,3,4
18,4,11
6,1,26
6,2,16
6,3,14
6,4,15
11,1,5
11,2,9
11,3,8
11,4,7
10,1,15
10,2,12
10,3,13
10,4,18
33,1,15
33,2,5
33,3,5
33,4,18
7,1,23
7,2,11
7,3,15
7,4,22
5,1,10
5,2,16
5,3,19
5,4,14
1,1,11
1,2,9
1,3,16
1,4,12
2,1,12
2,2,13
2,3,9
2,4,9
18,1,12
18,2,16
18,3,11
18,4,17
3,1,7
3,2,7
3,3,6
3,4,9
13,1,6
13,2,9
13,3,14
13,4,7
9,1,14
9,2,9
9,3,11
9,4,9
4,1,11
4,2,5
4,3,2
4,4,2
56,1,7
56,2,12
56,3,4
56,4,7
58,1,9
58,2,16
58,3,9
58,4,10
23,1,6
23,2,7
23,3,11
23,4,7
25,1,25
25,2,22
25,3,27
25,4,19
43,1,18
43,2,13
43,3,15
43,4,25
15,1,8
15,2,15
15,3,6
15,4,10
40,1,5
40,2,6
40,3,11
40,4,5
51,1,7
51,2,2
51,3,6
51,4,6
50,1,7
50,2,5
50,3,13
50,4,4
17,1,6
17,2,6
17,3,15
17,4,6
14,1,6
14,2,11
14,3,5
14,4,4
57,1,11
57,2,16
57,3,15
57,4,12
26,1,5
26,2,3
26,3,5
26,4,7
95,1,15
95,2,35
95,3,31
95,4,27
46,1,15
46,2,8
46,3,11
46,4,15
34,1,10
34,2,10
34,3,12
34,4,6
79,1,6
79,2,8
79,3,4
79,4,8
80,1,4
80,2,10
80,3,9
80,4,10
27,1,9
27,2,12
27,3,13
27,4,16
66,1,10
66,2,9
66,3,9
66,4,14
114,1,18
114,2,10
114,3,10
114,4,21
48,1,14
48,2,12
48,3,13
48,4,17
69,1,5
69,2,4
69,3,5
69,4,8
119,1,13
119,2,8
119,3,12
119,4,11
12,1,20
12,2,13
12,3,10
12,4,10
22,1,8
22,2,20
