ID,Initial_weight_g,Final_weight_g,Diff_weight_g,Diff_weight_mg,Notes
1,43.286,43.78303346,0.49703346,497.03346,
2,37.841,38.32882839,0.48782839,487.82839,
3,43.412,43.77061839,0.35861839,358.61839,
4,25.647,25.90909712,0.26209712,262.09712,
5,33.592,34.0964803,0.5044803,504.4803,
6,32.933,33.4086637,0.4756637,475.6637,
7,30.816,31.25688643,0.44088643,440.88643,
8,20.784,21.23667932,0.45267932,452.67932,
9,61.862,62.56630008,0.70430008,704.30008,
10,20.201,20.68484385,0.48384385,483.84385,
11,32.823,33.27223448,0.44923448,449.23448,
12,36,36.43397408,0.43397408,433.97408,
13,25.733,25.84157356,0.10857356,108.57356,
14,29.909,30.32268258,0.41368258,413.68258,
15,31.863,32.16730349,0.30430349,304.30349,
16,23.629,23.83854555,0.20954555,209.54555,
17,19.627,19.9222814,0.2952814,295.2814,
18,18.023,18.48615795,0.46315795,463.15795,
19,29.556,29.89875032,0.34275032,342.75032,
20,26.777,27.20175354,0.42475354,424.75354,
21,20.968,21.24065691,0.27265691,272.65691,
22,32.15,32.51446419,0.36446419,364.46419,
23,25.731,26.02200347,0.29100347,291.00347,
24,40.587,41.29568411,0.70868411,708.68411,
25,41.124,41.69291884,0.56891884,568.91884,
26,28.776,29.10160437,0.32560437,325.60437,
27,32.068,32.4746819,0.4066819,406.6819,
28,26.224,26.67990322,0.45590322,455.90322,
29,31.813,32.22423906,0.41123906,411.23906,
30,17.103,17.4446893,0.3416893,341.6893,
31,26.184,26.52606465,0.34206465,342.06465,
32,36.411,36.9266374,0.5156374,515.6374,
33,25.57,25.87140877,0.30140877,301.40877,
34,30.545,31.01896385,0.47396385,473.96385,
35,37.848,38.34511471,0.49711471,497.11471,
36,35.387,35.86353103,0.47653103,476.53103,
37,29.877,30.25352555,0.37652555,376.52555,
38,21.329,21.80057383,0.47157383,471.57383,
39,22.073,22.43387459,0.36087459,360.87459,
40,20.838,21.2555192,0.4175192,417.5192,
41,27.763,29.63890235,1.87590235,1875.90235,
42,30.556,30.9499778,0.3939778,393.9778,
43,40.388,40.74166336,0.35366336,353.66336,
44,28.469,28.87626199,0.40726199,407.26199,
45,25.211,25.40784388,0.19684388,196.84388,
46,34.223,34.58290674,0.35990674,359.90674,
47,18.839,19.16873983,0.32973983,329.73983,
48,34.467,35.08746445,0.62046445,620.46445,
49,22.441,22.70663047,0.26563047,265.63047,
50,27.671,28.25416368,0.58316368,583.16368,
51,19.15,19.4262954,0.2762954,276.2954,
52,37.027,37.5128992,0.4858992,485.8992,
53,25.186,25.57537239,0.38937239,389.37239,
54,38.662,39.22940391,0.56740391,567.40391,
55,28.756,29.22899937,0.47299937,472.99937,
56,24.849,25.18801154,0.33901154,339.01154,
57,32.049,32.54663498,0.49763498,497.63498,
58,27.549,28.07332888,0.52432888,524.32888,
59,28.465,28.85640679,0.39140679,391.40679,
60,23.943,NA,#VALUE!,#VALUE!,coral died during experiment
61,37.862,38.40806273,0.54606273,546.06273,
62,36.207,36.7408169,0.5338169,533.8169,
63,18.821,19.07660834,0.25560834,255.60834,
64,26.604,26.96304482,0.35904482,359.04482,
65,33.197,33.65656564,0.45956564,459.56564,
66,24.68,25.08213318,0.40213318,402.13318,
67,26.496,26.81749089,0.32149089,321.49089,
68,26.619,27.08446901,0.46546901,465.46901,
69,28.285,28.89918488,0.61418488,614.18488,
70,17.548,17.9197549,0.3717549,371.7549,
71,23.956,24.15817712,0.20217712,202.17712,
72,34.896,35.37368949,0.47768949,477.68949,
74,28.717,29.10270034,0.38570034,385.70034,
75,25.677,26.05262793,0.37562793,375.62793,
76,27.805,28.17574028,0.37074028,370.74028,
77,25.316,25.62797991,0.31197991,311.97991,
78,24.633,25.07139268,0.43839268,438.39268,
79,27.851,28.30204155,0.45104155,451.04155,
80,21.453,21.8966635,0.4436635,443.6635,
81,23.208,NA,#VALUE!,#VALUE!,missing final wt
82,33.772,34.28103793,0.50903793,509.03793,
83,25.713,26.02819546,0.31519546,315.19546,
84,28.43,28.92991596,0.49991596,499.91596,
85,25.447,25.90552222,0.45852222,458.52222,
86,21.106,21.33982245,0.23382245,233.82245,
87,24.542,24.88670135,0.34470135,344.70135,
88,30.173,30.75158213,0.57858213,578.58213,
89,27.309,27.89066574,0.58166574,581.66574,
90,13.103,13.3118762,0.2088762,208.8762,
91,23.603,23.91410153,0.31110153,311.10153,
92,39.835,40.44104632,0.60604632,606.04632,
93,33.06,33.47139452,0.41139452,411.39452,
94,31.954,32.37960265,0.42560265,425.60265,
95,57.305,58.18393285,0.87893285,878.93285,
96,22.928,NA,#VALUE!,#VALUE!,missing final wt
97,27.61,27.87677309,0.26677309,266.77309,
