,X,richness,evenness,faithPD,SampleID,tank,nutrient,temp,corallivory,colony,interaction,stress,logrich,asineven,logfaithPD,zcount,healing,growth
62,m.ch.1,76.42857143,0.937694122,9.30591,m.ch.1,D,Control,Control,Scarred,C1,Scarred,single,4.336356598,1.318517339,2.230649682,0.24,1.390625,24.73541654
27,m.ch.101,33.33333333,0.811291816,5.23029,m.ch.101,C,NH4+,high,Scarred,C1,"NH4+, High T, Scarred",triple,3.506557897,1.121418126,1.654466726,0.265,NA,12.11875216
28,m.ch.104,42,0.122288409,3.88974,m.ch.104,C,NH4+,high,Scarred,C4,"NH4+, High T, Scarred",triple,3.737669618,0.357248301,1.358342317,0.275,2.1831875,23.58393842
26,m.ch.105,75.85714286,0.564068478,5.70681,m.ch.105,C,NH4+,high,Scarred,C5,"NH4+, High T, Scarred",triple,4.328851872,0.849643274,1.741660199,0.155,1.901833333,44.70171755
29,m.ch.108,19,0.521509302,1.73208,m.ch.108,J,NH4+,high,Scarred,C8,"NH4+, High T, Scarred",triple,2.944438979,0.806914105,0.549322998,0.26,2.273083333,49.43292507
25,m.ch.109,109.1428571,0.400103066,11.28212,m.ch.109,J,NH4+,high,Scarred,C9,"NH4+, High T, Scarred",triple,4.69265764,0.684824392,2.423219172,0.255,NA,21.74489693
2,m.ch.11,33.25,0.092891956,4.22297,m.ch.11,D,Control,Control,Control,C1,Control,none,3.504054767,0.309709339,1.440538672,0.145,NA,29.71520572
21,m.ch.114,23,0.049775526,1.90727,m.ch.114,C,NH4+,high,Control,C4,"NH4+, High T",double,3.135494216,0.224997878,0.6456729,0.295,NA,29.440485
23,m.ch.115,24,0.726597956,3.72552,m.ch.115,C,NH4+,high,Control,C5,"NH4+, High T",double,3.17805383,1.02057182,1.315206439,0.275,NA,59.55509259
24,m.ch.118,56,0.884265875,5.5007,m.ch.118,J,NH4+,high,Control,C8,"NH4+, High T",double,4.025351691,1.223669744,1.704875357,0.305,NA,49.17315795
22,m.ch.119,41.5,0.202436894,5.72833,m.ch.119,J,NH4+,high,Control,C9,"NH4+, High T",double,3.725693427,0.466686818,1.74542404,0.22,NA,24.47759469
5,m.ch.14,51.33333333,0.15060704,6.11334,m.ch.14,D,Control,Control,Control,C4,Control,none,3.938340314,0.398548734,1.810473269,0.13,NA,28.71599195
1,m.ch.15,40,0.073243078,3.79418,m.ch.15,D,Control,Control,Control,C5,Control,none,3.688879454,0.274052154,1.333468314,0.195,NA,26.89143602
4,m.ch.17,44.5,0.119233121,3.2878,m.ch.17,L,Control,Control,Control,C7,Control,none,3.795489189,0.352560019,1.190218648,0.165,NA,40.62201128
3,m.ch.18,33,0.060646345,3.03508,m.ch.18,L,Control,Control,Control,C8,Control,none,3.496507561,0.248824453,1.110237783,0.2075,NA,43.6282922
10,m.ch.24,88,0.487253035,9.23655,m.ch.24,F,Control,high,Scarred,C4,"High T, Scarred",double,4.477336814,0.772649817,2.223168439,0.235,0.314666667,28.85404137
