,SampleID,distbc,distbj,distun,distwu,tank,nutrient,temp,corallivory,colony,interaction,stress
7,m.ch.11,0.031356423,0.534213904,0.416729386,0.020738071,D,Control,Control,Control,C1,Control,none
12,m.ch.14,0.065756961,0.685671998,0.542329717,0.0458367,D,Control,Control,Control,C4,Control,none
13,m.ch.15,0.024008879,0.611014478,0.447450489,0.015850748,D,Control,Control,Control,C5,Control,none
14,m.ch.17,0.042970179,0.57596731,0.480430664,0.027228239,L,Control,Control,Control,C7,Control,none
15,m.ch.18,0.022512408,0.573236594,0.435939657,0.016751149,L,Control,Control,Control,C8,Control,none
21,m.ch.31,0.588147378,0.581344574,0.429063727,0.526969575,F,Control,high,Control,C1,High T,single
22,m.ch.34,0.314126343,0.574269535,0.490543957,0.206716752,F,Control,high,Control,C4,High T,single
23,m.ch.37,0.249507018,0.648675865,0.482840645,0.157690267,G,Control,high,Control,C7,High T,single
24,m.ch.38,0.699764697,0.606602718,0.552635145,0.374187251,G,Control,high,Control,C8,High T,single
16,m.ch.24,0.176080073,0.584189804,0.527229824,0.115147442,F,Control,high,Scarred,C4,"High T, Scarred",double
17,m.ch.25,0.180152889,0.621441589,0.388238575,0.170744525,F,Control,high,Scarred,C5,"High T, Scarred",double
18,m.ch.27,0.339768157,0.552596699,0.39321856,0.207886199,G,Control,high,Scarred,C7,"High T, Scarred",double
19,m.ch.28,0.226710494,0.482324436,0.369305346,0.123412059,G,Control,high,Scarred,C8,"High T, Scarred",double
20,m.ch.29,0.170739764,0.559952894,0.419181881,0.147211397,G,Control,high,Scarred,C9,"High T, Scarred",double
57,m.ch.91,0.127934745,0.684689319,0.59497391,0.079004438,E,NH4+,Control,Control,C1,NH4+,single
58,m.ch.94,0.106066286,0.600848222,0.458557326,0.112848671,E,NH4+,Control,Control,C4,NH4+,single
59,m.ch.95,0.328034125,0.633941596,0.601197702,0.339030261,E,NH4+,Control,Control,C5,NH4+,single
60,m.ch.97,0.085057239,0.621835742,0.449450642,0.069136236,K,NH4+,Control,Control,C7,NH4+,single
61,m.ch.98,0.248879044,0.658906508,0.547409464,0.190442803,K,NH4+,Control,Control,C8,NH4+,single
62,m.ch.99,0.136530086,0.649298205,0.514335146,0.123095097,K,NH4+,Control,Control,C9,NH4+,single
8,m.ch.114,0.202383135,0.721978666,0.693217385,0.290109548,C,NH4+,high,Control,C4,"NH4+, High T",double
